"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","793","selecting a second file replaces the first before submit","chromium","2026-05-09","passed","2026-05-09","File upload — edge cases","e2e/file-upload-edge-cases.spec.ts","",""
"","1005","login form does not reflect the typed email back into the DOM as HTML","chromium","2026-05-09","passed","2026-05-09","Security — smoke checks","e2e/security-smoke.spec.ts","",""
"","1730","uploads a zero-byte file","webkit","2026-05-09","passed","2026-05-09","File upload — edge cases","e2e/file-upload-edge-cases.spec.ts","",""
"","1216","uploads a large (~5MB) binary file successfully","firefox","2026-05-09","passed","2026-05-09","File upload","e2e/file-upload.spec.ts","",""
"","1490","site bug: submit with no file shows success with empty filename","webkit","2026-05-09","passed","2026-05-09","File upload","e2e/file-upload.spec.ts","",""
"","2400","removing a cart item updates the total","firefox","2026-05-09","passed","2026-05-09","E-commerce — auth edge cases","e2e/auth-edge-cases.spec.ts","",""
"","1451","exposes the uploaded filename verbatim in the success response","webkit","2026-05-09","passed","2026-05-09","File upload","e2e/file-upload.spec.ts","",""
"","1349","captures all network requests during a successful login","chromium","2026-05-09","passed","2026-05-09","Auth — captured network traffic","api/auth-api.spec.ts","",""
"","1418","login form does not reflect the typed email back into the DOM as HTML","firefox","2026-05-09","passed","2026-05-09","Security — smoke checks","e2e/security-smoke.spec.ts","",""
"","65","file-upload endpoint is reachable","firefox","2026-05-09","passed","2026-05-09","Order & upload — API & network layer","api/order-api.spec.ts","",""
"","1246","empty form submit shows Bad credentials error","webkit","2026-05-09","passed","2026-05-09","E-commerce — auth edge cases","e2e/auth-edge-cases.spec.ts","",""
"","689","empty form submit shows Bad credentials error","chromium","2026-05-09","passed","2026-05-09","E-commerce — auth edge cases","e2e/auth-edge-cases.spec.ts","",""
"","1624","upload via UI reflects the uploaded filename in the response","webkit","2026-05-09","passed","2026-05-09","Order — captured submission traffic","api/order-api.spec.ts","",""
"","754","uploads a filename with unicode + special characters","chromium","2026-05-09","passed","2026-05-09","File upload — edge cases","e2e/file-upload-edge-cases.spec.ts","",""
"","1967","app survives a 500 from an intercepted asset request","webkit","2026-05-09","passed","2026-05-09","Network — error handling","network/error-handling.spec.ts","",""
"","490","direct POST to login endpoint with bad credentials does not 5xx","firefox","2026-05-09","passed","2026-05-09","Auth — API & network layer","api/auth-api.spec.ts","",""
"","2008","phone field accepts numeric input but does not coerce non-numeric to empty","firefox","2026-05-09","passed","2026-05-09","Checkout — edge cases","e2e/checkout-edge-cases.spec.ts","",""
"","1973","SQL-style injection in password field returns the same generic error","webkit","2026-05-09","passed","2026-05-09","Security — smoke checks","e2e/security-smoke.spec.ts","",""
"","105","direct multipart POST to /file-upload does not 5xx","firefox","2026-05-09","passed","2026-05-09","Order & upload — API & network layer","api/order-api.spec.ts","",""
"","1161","site bug: submit with no file shows success with empty filename","firefox","2026-05-09","passed","2026-05-09","File upload","e2e/file-upload.spec.ts","",""
"","1691","two-tab login: a fresh tab does not inherit the first tab's session","chromium","2026-05-09","passed","2026-05-09","Session — edge cases","e2e/session-edge-cases.spec.ts","",""
"","2959","shop page (post-login) has no critical a11y violations","firefox","2026-05-09","passed","2026-05-09","Accessibility (WCAG 2.1 A + AA)","e2e/accessibility.spec.ts","",""
"","2258","clicking ADD TO CART twice for the same product is a no-op on the second click","webkit","2026-05-09","passed","2026-05-09","Cart — edge cases","e2e/cart-edge-cases.spec.ts","",""
"","0","heals a deliberately broken submit-button selector","chromium","2026-05-09","skipped","2026-05-09","Self-healing demonstration","e2e/healing-demo.spec.ts","",""
"","1801","slow network: login still completes when responses are throttled","chromium","2026-05-09","passed","2026-05-09","Network — error handling","network/error-handling.spec.ts","",""
"","917","email-only submit (empty password) shows Bad credentials error","chromium","2026-05-09","passed","2026-05-09","E-commerce — auth edge cases","e2e/auth-edge-cases.spec.ts","",""
"","1336","empty form submit shows Bad credentials error","firefox","2026-05-09","passed","2026-05-09","E-commerce — auth edge cases","e2e/auth-edge-cases.spec.ts","",""
"","1678","removing a cart item updates the total","chromium","2026-05-09","passed","2026-05-09","E-commerce — auth edge cases","e2e/auth-edge-cases.spec.ts","",""
"","1543","refresh on shop page returns to login (in-memory session, no persistence)","chromium","2026-05-09","passed","2026-05-09","Session — edge cases","e2e/session-edge-cases.spec.ts","",""
"","2403","slow network: login still completes when responses are throttled","firefox","2026-05-09","passed","2026-05-09","Network — error handling","network/error-handling.spec.ts","",""
"","723","uploads a large (~5MB) binary file successfully","chromium","2026-05-09","passed","2026-05-09","File upload","e2e/file-upload.spec.ts","",""
"","3972","clicking Submit Order without a phone number still attempts submission","webkit","2026-05-09","passed","2026-05-09","Checkout — edge cases","e2e/checkout-edge-cases.spec.ts","",""
"","0","heals a deliberately broken submit-button selector","webkit","2026-05-09","skipped","2026-05-09","Self-healing demonstration","e2e/healing-demo.spec.ts","",""
"","1252","uploads a text file successfully","firefox","2026-05-09","passed","2026-05-09","File upload","e2e/file-upload.spec.ts","",""
"","1471","uploads a file with a very long (200+ char) filename","webkit","2026-05-09","passed","2026-05-09","File upload — edge cases","e2e/file-upload-edge-cases.spec.ts","",""
"","1775","email-only submit (empty password) shows Bad credentials error","webkit","2026-05-09","passed","2026-05-09","E-commerce — auth edge cases","e2e/auth-edge-cases.spec.ts","",""
"","3026","special characters in shipping fields are accepted as plain text","webkit","2026-05-09","passed","2026-05-09","Checkout — edge cases","e2e/checkout-edge-cases.spec.ts","",""
"","2282","proceeding to checkout with an empty cart still navigates without crashing","webkit","2026-05-09","passed","2026-05-09","Cart — edge cases","e2e/cart-edge-cases.spec.ts","",""
"","1579","SQL-style injection in password field returns the same generic error","firefox","2026-05-09","passed","2026-05-09","Security — smoke checks","e2e/security-smoke.spec.ts","",""
"","0","heals a deliberately broken submit-button selector","firefox","2026-05-09","skipped","2026-05-09","Self-healing demonstration","e2e/healing-demo.spec.ts","",""
"","1553","removing every item one by one returns the cart total to zero","chromium","2026-05-09","passed","2026-05-09","Cart — edge cases","e2e/cart-edge-cases.spec.ts","",""
"","1299","offline mid-flow: action after going offline does not corrupt UI state","chromium","2026-05-09","passed","2026-05-09","Network — error handling","network/error-handling.spec.ts","",""
"","2449","removing every item one by one returns the cart total to zero","firefox","2026-05-09","passed","2026-05-09","Cart — edge cases","e2e/cart-edge-cases.spec.ts","",""
"","2489","changing the country select updates the bound option","firefox","2026-05-09","passed","2026-05-09","Checkout — edge cases","e2e/checkout-edge-cases.spec.ts","",""
"","1471","direct navigation to /auth_ecommerce while logged out lands on login form","webkit","2026-05-09","passed","2026-05-09","Session — edge cases","e2e/session-edge-cases.spec.ts","",""
"","2669","submitting an order issues network calls or a console signal","chromium","2026-05-09","passed","2026-05-09","Order — captured submission traffic","api/order-api.spec.ts","",""
"","1056","app survives a 500 from an intercepted asset request","chromium","2026-05-09","passed","2026-05-09","Network — error handling","network/error-handling.spec.ts","",""
"","2482","changing the country select updates the bound option","webkit","2026-05-09","passed","2026-05-09","Checkout — edge cases","e2e/checkout-edge-cases.spec.ts","",""
"","1582","logout via UI ends the authenticated session locally","chromium","2026-05-09","passed","2026-05-09","Auth — captured network traffic","api/auth-api.spec.ts","",""
"","1262","exposes the uploaded filename verbatim in the success response","firefox","2026-05-09","passed","2026-05-09","File upload","e2e/file-upload.spec.ts","",""
"","3249","captures all network requests during a successful login","webkit","2026-05-09","passed","2026-05-09","Auth — captured network traffic","api/auth-api.spec.ts","",""
"","1290","selecting a second file replaces the first before submit","firefox","2026-05-09","passed","2026-05-09","File upload — edge cases","e2e/file-upload-edge-cases.spec.ts","",""
"","1949","XSS payload in email field is treated as plain text","webkit","2026-05-09","passed","2026-05-09","Security — smoke checks","e2e/security-smoke.spec.ts","",""
"","1052","SQL-style injection in password field returns the same generic error","chromium","2026-05-09","passed","2026-05-09","Security — smoke checks","e2e/security-smoke.spec.ts","",""
"","2236","shop page (post-login) has no critical a11y violations","chromium","2026-05-09","passed","2026-05-09","Accessibility (WCAG 2.1 A + AA)","e2e/accessibility.spec.ts","",""
"","2618","logout clears authenticated state — re-navigation lands on login form","webkit","2026-05-09","passed","2026-05-09","E-commerce — auth edge cases","e2e/auth-edge-cases.spec.ts","",""
"","2910","two-tab login: a fresh tab does not inherit the first tab's session","webkit","2026-05-09","passed","2026-05-09","Session — edge cases","e2e/session-edge-cases.spec.ts","",""
"","1614","rejects unknown email — shows Bad credentials error","firefox","2026-05-09","passed","2026-05-09","E-commerce — auth edge cases","e2e/auth-edge-cases.spec.ts","",""
"","1387","changing the country select updates the bound option","chromium","2026-05-09","passed","2026-05-09","Checkout — edge cases","e2e/checkout-edge-cases.spec.ts","",""
"","29","direct multipart POST to /file-upload does not 5xx","webkit","2026-05-09","passed","2026-05-09","Order & upload — API & network layer","api/order-api.spec.ts","",""
"","726","direct navigation to /auth_ecommerce while logged out lands on login form","chromium","2026-05-09","passed","2026-05-09","Session — edge cases","e2e/session-edge-cases.spec.ts","",""
"","970","credentials displayed on the page match what we use","webkit","2026-05-09","passed","2026-05-09","E-commerce auth + order — happy path","e2e/auth-ecommerce.spec.ts","",""
"","1524","uploads a file with a very long (200+ char) filename","firefox","2026-05-09","passed","2026-05-09","File upload — edge cases","e2e/file-upload-edge-cases.spec.ts","",""
"","660","rejects unknown email — shows Bad credentials error","chromium","2026-05-09","passed","2026-05-09","E-commerce — auth edge cases","e2e/auth-edge-cases.spec.ts","",""
"","1624","app survives a 500 from an intercepted asset request","firefox","2026-05-09","passed","2026-05-09","Network — error handling","network/error-handling.spec.ts","",""
"","1942","login page has no critical a11y violations","firefox","2026-05-09","passed","2026-05-09","Accessibility (WCAG 2.1 A + AA)","e2e/accessibility.spec.ts","",""
"","784","uploads a file with a very long (200+ char) filename","chromium","2026-05-09","passed","2026-05-09","File upload — edge cases","e2e/file-upload-edge-cases.spec.ts","",""
"","3358","submitting an order issues network calls or a console signal","firefox","2026-05-09","passed","2026-05-09","Order — captured submission traffic","api/order-api.spec.ts","",""
"","1227","proceeding to checkout with an empty cart still navigates without crashing","chromium","2026-05-09","passed","2026-05-09","Cart — edge cases","e2e/cart-edge-cases.spec.ts","",""
"","1606","logout clears authenticated state — re-navigation lands on login form","chromium","2026-05-09","passed","2026-05-09","E-commerce — auth edge cases","e2e/auth-edge-cases.spec.ts","",""
"","4139","logs in, adds 2 products, completes checkout, and logs out","chromium","2026-05-09","passed","2026-05-09","E-commerce auth + order — happy path","e2e/auth-ecommerce.spec.ts","",""
"","1020","XSS payload in email field is treated as plain text","chromium","2026-05-09","passed","2026-05-09","Security — smoke checks","e2e/security-smoke.spec.ts","",""
"","34","direct multipart POST to /file-upload does not 5xx","chromium","2026-05-09","passed","2026-05-09","Order & upload — API & network layer","api/order-api.spec.ts","",""
"","3417","shop page (post-login) has no critical a11y violations","webkit","2026-05-09","passed","2026-05-09","Accessibility (WCAG 2.1 A + AA)","e2e/accessibility.spec.ts","",""
"","3386","clicking Submit Order without a phone number still attempts submission","firefox","2026-05-09","passed","2026-05-09","Checkout — edge cases","e2e/checkout-edge-cases.spec.ts","",""
"","2908","cart total equals the sum of unit prices for all added products","webkit","2026-05-09","passed","2026-05-09","Cart — edge cases","e2e/cart-edge-cases.spec.ts","",""
"","1881","login form does not reflect the typed email back into the DOM as HTML","webkit","2026-05-09","passed","2026-05-09","Security — smoke checks","e2e/security-smoke.spec.ts","",""
"","2044","credentials shown on the page are accepted by login flow","webkit","2026-05-09","passed","2026-05-09","Auth — captured network traffic","api/auth-api.spec.ts","",""
"","1590","clicking ADD TO CART twice for the same product is a no-op on the second click","chromium","2026-05-09","passed","2026-05-09","Cart — edge cases","e2e/cart-edge-cases.spec.ts","",""
"","1189","upload via UI reflects the uploaded filename in the response","firefox","2026-05-09","passed","2026-05-09","Order — captured submission traffic","api/order-api.spec.ts","",""
"","2768","captures all network requests during a successful login","firefox","2026-05-09","passed","2026-05-09","Auth — captured network traffic","api/auth-api.spec.ts","",""
"","1391","phone field accepts numeric input but does not coerce non-numeric to empty","chromium","2026-05-09","passed","2026-05-09","Checkout — edge cases","e2e/checkout-edge-cases.spec.ts","",""
"","3463","uploads a text file successfully","webkit","2026-05-09","passed","2026-05-09","File upload","e2e/file-upload.spec.ts","",""
"","1704","special characters in shipping fields are accepted as plain text","chromium","2026-05-09","passed","2026-05-09","Checkout — edge cases","e2e/checkout-edge-cases.spec.ts","",""
"","4787","submitting an order issues network calls or a console signal","webkit","2026-05-09","passed","2026-05-09","Order — captured submission traffic","api/order-api.spec.ts","",""
"","1840","cart total equals the sum of unit prices for all added products","chromium","2026-05-09","passed","2026-05-09","Cart — edge cases","e2e/cart-edge-cases.spec.ts","",""
"","3195","special characters in shipping fields are accepted as plain text","firefox","2026-05-09","passed","2026-05-09","Checkout — edge cases","e2e/checkout-edge-cases.spec.ts","",""
"","3658","checkout shipping form has no critical a11y violations","webkit","2026-05-09","passed","2026-05-09","Accessibility (WCAG 2.1 A + AA)","e2e/accessibility.spec.ts","",""
"","3563","checkout shipping form has no critical a11y violations","firefox","2026-05-09","passed","2026-05-09","Accessibility (WCAG 2.1 A + AA)","e2e/accessibility.spec.ts","",""
"","1701","uploads a filename with unicode + special characters","webkit","2026-05-09","passed","2026-05-09","File upload — edge cases","e2e/file-upload-edge-cases.spec.ts","",""
"","2140","file upload page has no critical a11y violations","webkit","2026-05-09","passed","2026-05-09","Accessibility (WCAG 2.1 A + AA)","e2e/accessibility.spec.ts","",""
"","1466","email-only submit (empty password) shows Bad credentials error","firefox","2026-05-09","passed","2026-05-09","E-commerce — auth edge cases","e2e/auth-edge-cases.spec.ts","",""
"","1139","credentials shown on the page are accepted by login flow","chromium","2026-05-09","passed","2026-05-09","Auth — captured network traffic","api/auth-api.spec.ts","",""
"","2150","logout clears authenticated state — re-navigation lands on login form","firefox","2026-05-09","passed","2026-05-09","E-commerce — auth edge cases","e2e/auth-edge-cases.spec.ts","",""
"","791","rejects invalid password — shows Bad credentials error","chromium","2026-05-09","passed","2026-05-09","E-commerce — auth edge cases","e2e/auth-edge-cases.spec.ts","",""
"","2272","rejects unknown email — shows Bad credentials error","webkit","2026-05-09","passed","2026-05-09","E-commerce — auth edge cases","e2e/auth-edge-cases.spec.ts","",""
"","1585","credentials shown on the page are accepted by login flow","firefox","2026-05-09","passed","2026-05-09","Auth — captured network traffic","api/auth-api.spec.ts","",""
"","451","direct POST to login endpoint with bad credentials does not 5xx","webkit","2026-05-09","passed","2026-05-09","Auth — API & network layer","api/auth-api.spec.ts","",""
"","2662","clicking Submit Order without a phone number still attempts submission","chromium","2026-05-09","passed","2026-05-09","Checkout — edge cases","e2e/checkout-edge-cases.spec.ts","",""
"","1318","rejects invalid password — shows Bad credentials error","firefox","2026-05-09","passed","2026-05-09","E-commerce — auth edge cases","e2e/auth-edge-cases.spec.ts","",""
"","1415","XSS payload in email field is treated as plain text","firefox","2026-05-09","passed","2026-05-09","Security — smoke checks","e2e/security-smoke.spec.ts","",""
"","729","exposes the uploaded filename verbatim in the success response","chromium","2026-05-09","passed","2026-05-09","File upload","e2e/file-upload.spec.ts","",""
"","2689","login page has no critical a11y violations","webkit","2026-05-09","passed","2026-05-09","Accessibility (WCAG 2.1 A + AA)","e2e/accessibility.spec.ts","",""
"","685","credentials displayed on the page match what we use","chromium","2026-05-09","passed","2026-05-09","E-commerce auth + order — happy path","e2e/auth-ecommerce.spec.ts","",""
"","503","direct POST to login endpoint with bad credentials does not 5xx","chromium","2026-05-09","passed","2026-05-09","Auth — API & network layer","api/auth-api.spec.ts","",""
"","996","uploads a PDF file successfully","webkit","2026-05-09","passed","2026-05-09","File upload","e2e/file-upload.spec.ts","",""
"","1478","rejects invalid password — shows Bad credentials error","webkit","2026-05-09","passed","2026-05-09","E-commerce — auth edge cases","e2e/auth-edge-cases.spec.ts","",""
"","45","file-upload endpoint is reachable","webkit","2026-05-09","passed","2026-05-09","Order & upload — API & network layer","api/order-api.spec.ts","",""
"","2676","two-tab login: a fresh tab does not inherit the first tab's session","firefox","2026-05-09","passed","2026-05-09","Session — edge cases","e2e/session-edge-cases.spec.ts","",""
"","3760","logout via UI ends the authenticated session locally","webkit","2026-05-09","passed","2026-05-09","Auth — captured network traffic","api/auth-api.spec.ts","",""
"","1760","proceeding to checkout with an empty cart still navigates without crashing","firefox","2026-05-09","passed","2026-05-09","Cart — edge cases","e2e/cart-edge-cases.spec.ts","",""
"","1140","uploads a large (~5MB) binary file successfully","webkit","2026-05-09","passed","2026-05-09","File upload","e2e/file-upload.spec.ts","",""
"","1164","uploads a PDF file successfully","firefox","2026-05-09","passed","2026-05-09","File upload","e2e/file-upload.spec.ts","",""
"","2544","phone field accepts numeric input but does not coerce non-numeric to empty","webkit","2026-05-09","passed","2026-05-09","Checkout — edge cases","e2e/checkout-edge-cases.spec.ts","",""
"","1306","direct navigation to /auth_ecommerce while logged out lands on login form","firefox","2026-05-09","passed","2026-05-09","Session — edge cases","e2e/session-edge-cases.spec.ts","",""
"","3287","removing every item one by one returns the cart total to zero","webkit","2026-05-09","passed","2026-05-09","Cart — edge cases","e2e/cart-edge-cases.spec.ts","",""
"","725","upload via UI reflects the uploaded filename in the response","chromium","2026-05-09","passed","2026-05-09","Order — captured submission traffic","api/order-api.spec.ts","",""
"","1904","credentials displayed on the page match what we use","firefox","2026-05-09","passed","2026-05-09","E-commerce auth + order — happy path","e2e/auth-ecommerce.spec.ts","",""
"","57","file-upload endpoint is reachable","chromium","2026-05-09","passed","2026-05-09","Order & upload — API & network layer","api/order-api.spec.ts","",""
"","446","login page is reachable and serves HTML","webkit","2026-05-09","passed","2026-05-09","Auth — API & network layer","api/auth-api.spec.ts","",""
"","483","login page is reachable and serves HTML","firefox","2026-05-09","passed","2026-05-09","Auth — API & network layer","api/auth-api.spec.ts","",""
"","2119","offline mid-flow: action after going offline does not corrupt UI state","webkit","2026-05-09","passed","2026-05-09","Network — error handling","network/error-handling.spec.ts","",""
"","792","uploads a PDF file successfully","chromium","2026-05-09","passed","2026-05-09","File upload","e2e/file-upload.spec.ts","",""
"","2288","clicking ADD TO CART twice for the same product is a no-op on the second click","firefox","2026-05-09","passed","2026-05-09","Cart — edge cases","e2e/cart-edge-cases.spec.ts","",""
"","7552","logs in, adds 2 products, completes checkout, and logs out","webkit","2026-05-09","passed","2026-05-09","E-commerce auth + order — happy path","e2e/auth-ecommerce.spec.ts","",""
"","759","uploads a text file successfully","chromium","2026-05-09","passed","2026-05-09","File upload","e2e/file-upload.spec.ts","",""
"","2012","login page has no critical a11y violations","chromium","2026-05-09","passed","2026-05-09","Accessibility (WCAG 2.1 A + AA)","e2e/accessibility.spec.ts","",""
"","1117","uploads a zero-byte file","firefox","2026-05-09","passed","2026-05-09","File upload — edge cases","e2e/file-upload-edge-cases.spec.ts","",""
"","1651","selecting a second file replaces the first before submit","webkit","2026-05-09","passed","2026-05-09","File upload — edge cases","e2e/file-upload-edge-cases.spec.ts","",""
"","848","site bug: submit with no file shows success with empty filename","chromium","2026-05-09","passed","2026-05-09","File upload","e2e/file-upload.spec.ts","",""
"","2988","removing a cart item updates the total","webkit","2026-05-09","passed","2026-05-09","E-commerce — auth edge cases","e2e/auth-edge-cases.spec.ts","",""
